source;target;Dijkstra time;Dijkstra iteration;Dijkstra path weight;Dijkstra path length;Bidirectional Dijkstra time;Bidirectional Dijkstra iteration;Bidirectional Dijkstra path weight;Bidirectional Dijkstra path length
8277;1667;25;7887;9062;85;30;6593;9062;85
119;3051;0;2314;2848;29;9;899;2848;29
4448;6905;8;2935;3848;35;1;1948;3848;35
3184;4931;25;9550;9560;88;16;5772;9560;88
2579;2313;10;5643;5209;50;8;3142;5209;50
1090;6613;8;2445;3610;31;9;1686;3610;31
1538;6286;2;2914;4735;40;9;2496;4735;40
3159;910;16;8182;8350;77;17;6312;8350;77
330;8089;8;853;2026;15;0;546;2026;15
6115;4796;0;816;1771;15;8;428;1771;15
7;1361;8;6488;6747;59;16;5449;6747;59
6002;6843;20;8140;8392;76;19;5890;8392;76
8198;4923;8;6999;7418;65;16;4649;7418;65
3649;7775;8;3976;4747;43;16;3162;4747;43
2709;7185;0;328;1423;13;0;216;1423;13
3513;6955;16;7188;7487;61;17;6181;7487;61
3447;4834;17;7960;9669;76;16;5957;9669;76
5990;5692;0;1362;2894;27;8;914;2894;27
675;8695;0;678;2748;25;0;621;2748;25
3879;1542;16;4319;3989;38;1;2220;3989;38
4700;9693;23;9413;9668;83;12;5680;9668;83
7854;8153;10;3206;3560;33;8;1390;3560;33
5340;740;9;4802;4221;35;12;2503;4221;35
6886;1758;16;9691;8840;82;12;5774;8840;82
233;147;16;6108;7274;67;16;4353;7274;66
3620;2244;9;7728;8248;74;17;4643;8248;74
9945;9477;11;3417;3525;35;0;1583;3525;35
7605;9313;17;7389;7390;66;16;5283;7390;66
3682;7316;8;3675;5810;56;8;3181;5810;56
6519;6839;8;3176;3876;36;13;1840;3876;36
538;3504;16;8872;8728;86;19;5334;8728;86
4133;5718;9;2936;4692;41;8;2153;4692;41
9805;3004;3;3009;4761;43;8;2457;4761;43
3546;2951;20;9828;9201;75;16;6567;9201;75
5693;9302;17;7110;6281;63;16;5106;6281;63
295;8108;16;5193;5049;49;9;3579;5049;49
8436;8257;16;6363;7752;68;16;4639;7752;68
3487;4530;9;5275;4854;51;8;2953;4854;51
4933;353;16;7352;8877;82;16;6067;8877;82
9167;5408;20;8429;9989;88;20;5950;9989;88
